time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-17 01:00:00+00:00,7.839083333333332,0.9,6.1728149911034675,106.5016849532976,0.96,172.96,4.8,103.42
2019-08-17 02:00:00+00:00,7.722049999999999,0.88,5.747736773870895,117.956151068365,0.95,173.54,4.41,106.85
2019-08-17 03:00:00+00:00,7.159299999999999,0.89,6.285004985143335,109.92784522716732,0.95,174.12,4.02,110.28
2019-08-17 04:00:00+00:00,7.64045,0.82,6.310387644034482,112.13481446270274,0.95,174.49,4.64,113.83
2019-08-17 05:00:00+00:00,7.0059499999999995,0.88,6.634228226352213,118.44770917465442,0.95,174.85,5.25,117.37
2019-08-17 06:00:00+00:00,6.78395,0.78,6.0087927080787145,112.66344599514122,0.95,175.22,5.87,120.92
2019-08-17 07:00:00+00:00,4.574833333333333,0.81,5.9720493121395855,117.78124164589737,0.96,175.22,5.43,121.75
2019-08-17 08:00:00+00:00,2.5352333333333332,0.75,5.403887904193269,116.72980626597952,0.96,175.23,4.98,122.57
2019-08-17 09:00:00+00:00,2.5463999999999998,0.77,4.9280833119186696,111.62781327524469,0.97,175.23,4.54,123.4
2019-08-17 10:00:00+00:00,4.081316666666667,0.72,4.3149863060782,97.04231551461092,0.98,175.4,3.8,123.71
2019-08-17 11:00:00+00:00,3.8534166666666674,0.72,4.279683180477968,91.45030070186691,0.98,175.56,3.06,124.02
2019-08-17 12:00:00+00:00,2.7095333333333333,0.73,3.987179688246392,92.0141107469948,0.99,175.73,2.32,124.33
2019-08-17 13:00:00+00:00,1.3846166666666668,0.73,3.4348091961295157,75.84320106346432,1.0,176.25,2.85,116.09
2019-08-17 14:00:00+00:00,0.7520833333333332,0.75,4.041320393834357,79.92487493815372,1.01,176.76,3.39,107.86
2019-08-17 15:00:00+00:00,0.9298666666666667,0.74,3.5137924411910597,76.58714049444279,1.02,177.28,3.92,99.62
2019-08-17 16:00:00+00:00,1.0389166666666667,0.76,3.1005837028366128,83.06873821050613,1.02,178.27,3.54,104.86
2019-08-17 17:00:00+00:00,1.0837166666666667,0.82,4.4390464825717935,108.81430340902565,1.02,179.25,3.15,110.09
2019-08-17 18:00:00+00:00,1.34455,0.81,3.1657000159136004,110.9296066692948,1.02,180.24,2.77,115.33
2019-08-17 19:00:00+00:00,1.0912166666666667,0.82,3.6283916565299497,110.75480040746409,1.01,181.03,2.8,123.01
2019-08-17 20:00:00+00:00,1.3638333333333332,0.76,4.443413159525504,112.75662217165545,1.01,181.82,2.82,130.7
2019-08-17 21:00:00+00:00,2.2688499999999996,0.74,4.431721910566333,124.26099113912909,1.0,182.61,2.85,138.38
2019-08-17 22:00:00+00:00,2.7365999999999997,0.72,3.8464384620806658,138.34668910075584,0.99,182.93,2.41,81.55
2019-08-17 23:00:00+00:00,3.1645499999999998,0.7,3.539048250049476,150.51596032846513,0.98,183.24,1.96,24.71
2019-08-18 00:00:00+00:00,2.424183333333333,0.7,3.495938885517254,169.44670766714756,0.97,183.56,1.52,327.88
2019-08-18 01:00:00+00:00,2.8895999999999997,0.68,1.6966360505505849,315.1052508773421,0.97,182.74,1.05,11.85
